Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene3499	284.679342230842	-1.58928032941509	0.817735229136176	-1.94351456655957	0.0519540171198125	1	1706	104	128	226	146	70	227	180
gbgene3503	1961.69531685492	0.569197874299518	0.714808073728021	0.796294691148233	0.425860770552179	1	1352	770	3261	1415	1200	943	7540	1375
gbgene3648	423.835829204558	6.36718001081605	1.64304255772433	3.87523742515521	0.000106520787555009	1	42	3	3	3	75	2573	7	8
gbgene3655	109.503097622329	1.55728765720158	0.712227466770868	2.18650323085978	0.0287788085733783	1	65	30	63	88	50	341	107	112
gbgene3665	910.449373649541	0.75421067973294	0.850595791527933	0.886685176725534	0.375248421210819	1	798	548	601	981	318	2795	523	360
gbgene4000	14.0454269959222	-3.39460024651127	2.04682691838127	-1.65846961266069	0.0972227160198046	1	0	0	1	121	0	3	2	6
gbgene4023	20.1402163871728	1.16245209458101	1.2519077251733	0.928544549415648	0.353125170148775	1	8	3	41	1	4	8	116	11
gbgene4234	76.5750481321765	-4.77708675226845	1.68538098164075	-2.83442545294291	0.00459081674790021	1	6	1	610	3	1	4	19	1
gbgene4250	346.181405826378	0.18799027591069	0.912106401703904	0.206105642455207	0.836708391354351	1	108	322	380	508	115	874	106	208
gbgene4513	10.7394203189928	-2.82786313985864	1.36137793250556	-2.07720653636135	0.0377825008551395	1	7	52	1	1	2	1	4	5
gbgene4562	15.1655807864003	-6.06879397661292	2.67145350247785	-2.2717198599878	0.023103435882357	1	161	0	1	0	0	0	0	2
gbgene4852	23.4364843476876	-1.80705587853674	1.15132941802702	-1.56953852671758	0.116522509651891	1	154	8	13	11	11	0	17	21
gbgene4857	176.018871306898	0.788970625412652	1.51742705305268	0.519939738668453	0.603105576997693	1	49	20	467	9	7	10	42	1139
gbgene4871	221.855081944684	-0.10196255635631	0.937736440607917	-0.108732637381788	0.913414554430927	1	295	212	269	195	65	542	93	32
gbgene4876	59.8050282372669	-0.597226712681287	1.32679416607099	-0.450127629404523	0.652618415535696	1	121	74	100	7	15	0	22	211
gbgene4893	55.4939500131848	3.55636347194752	1.91027910193615	1.86169836038252	0.0626456198388081	1	0	0	32	5	1	3	509	23
gbgene5271	80.4383656774568	-2.72217676197741	1.11156094001584	-2.44896763099521	0.014326632245381	1	677	10	31	19	20	15	28	28
gbgene5346	27.643977881748	-1.8340079938477	1.116345720484	-1.64286740227083	0.100410370824888	1	200	8	9	7	14	2	18	21
gbgene5676	69.7616919583744	-2.40811005285498	1.07622622930694	-2.23755004968216	0.02525041201789	1	34	7	430	29	16	20	27	32
gbgene5699	174.897947290427	-3.03864115332692	1.2800103658118	-2.37391917634962	0.017600402656587	1	227	658	102	137	2	3	182	9
gbgene5744	68.371411485052	-0.931219695863917	0.71265365843718	-1.30669320902112	0.191316925986111	1	322	26	41	56	50	35	60	53
gbgene6019	21.1546222263524	-2.07373872114017	0.945645144211608	-2.19293540905248	0.0283120331015529	1	12	78	11	18	3	4	17	14
gbgene6020	32.4795296388783	-3.64112043158476	1.27996736891002	-2.84469785716915	0.00444535678454997	1	21	163	1	11	2	5	7	7
gbgene6028	15.4578768416534	0.452076365585912	1.85590373847251	0.243588261726328	0.807549720290356	1	0	0	51	4	1	51	3	5
gbgene6127	32.7012402602629	-2.07903240912297	0.82095836876067	-2.53244560045293	0.0113269944150981	1	201	17	21	24	14	12	9	16
gbgene6129	14.2494607976876	-1.65386960098091	0.927781969143053	-1.78260588800675	0.0746504806922377	1	85	6	11	6	8	5	4	12
gbgene6287	13.1907913346609	-4.83888201413168	1.51119146589137	-3.20203106181353	0.00136462282495641	1	126	2	4	3	0	1	1	2
