Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gbgene16792	396.955063236124	-4.78952905461458	0.922122497301105	-5.93594318454737	2.92160970727337e-09	3.82380278487938e-05
gbgene4699	34433.1541487789	-4.18360077537152	0.946275537748826	-5.91568819374636	3.30490780706674e-09	4.32546333788894e-05
gbgene312	23633.8820548739	4.11341565255192	0.697959774201407	5.91420585971238	3.33480594873657e-09	4.36459402570642e-05
gbgene7690	10522.5836109393	-3.7302107392085	0.95864051813335	-5.85806083114393	4.6830312631157e-09	6.12915131716583e-05
gbgene11488	1456.2947680305	-4.23899137495747	0.944072346027538	-5.82016632163939	5.87890971637151e-09	7.69431703678703e-05
gbgene19926	2432.13753625042	-3.46709634869591	0.963552092783544	-5.81730643706595	5.98034494170416e-09	7.8270754597024e-05
gbgene16058	1106.56613239433	-4.5972475487648	0.806656527873253	-5.78664936593974	7.18042404818408e-09	9.39773899426332e-05
gbgene6061	3023.14912105891	-4.37220926790891	0.936637533667339	-5.75872948374215	8.47493927861255e-09	0.000110920005278481
gbgene17382	6746.57002100841	-4.75194890986596	0.893314794419011	-5.75772368611032	8.52557564534765e-09	0.00011158273404631
gbgene7151	19.4352996666982	-3.48481427321021	0.586705286594257	-5.73289180261448	9.87326204086303e-09	0.000129221253590815
gbgene2781	99.1237898138534	4.13022583230098	0.720823909151185	5.68827546059626	1.28328703705202e-08	0.000167956607409368
gbgene7679	878.292076757758	-4.23375444872394	0.942371274821354	-5.62695459879928	1.83418978110966e-08	0.000240058758551632
gbgene14859	20037.6581542434	-4.13702262158762	0.945097470310227	-5.62134041006875	1.89481488954886e-08	0.000247993372744155
gbgene2001	6807.29899489881	-4.40934725603619	0.930377607209993	-5.61379294456595	1.9793905092919e-08	0.000259062629856124
gbgene7675	33628.5173307454	-3.81140169540644	0.955777150892236	-5.60946058817324	2.0295820925931e-08	0.000265631704278585
gbgene7682	695.72802895626	-3.44008400152817	0.964024057964206	-5.58882590232786	2.28610005074572e-08	0.0002992047746416
gbgene15700	1435.24222042501	-4.58034465265674	0.85748997376148	-5.53108435037584	3.18257228888099e-08	0.000416535061168744
gbgene5758	2831.65871655483	-3.99882288787339	0.949538996912482	-5.51104936876592	3.56700647810854e-08	0.000466849807854845
gbgene13820	3880.97482028006	-4.3410133471846	0.931280142116532	-5.48827386298832	4.05880450347706e-08	0.000531216333415077
gbgene9598	445.147281383253	2.40277186344089	0.438258328803498	5.48114107474124	4.2259133285272e-08	0.00055308753643764
gbgene7691	1257.17863472788	-3.02128401920503	0.968034057860014	-5.47606739658412	4.34882111322426e-08	0.000569173707298791
gbgene15836	1020.61278605065	-4.40091350122243	0.926127681709748	-5.45219062068556	4.9753081610663e-08	0.000651168332120357
gbgene7120	11434.3089864572	-4.23257443066538	0.937343906964677	-5.45103754703124	5.00767951981283e-08	0.000655405095553104
gbgene15698	2102.07494542336	-4.41324811045197	0.826244352817074	-5.45030623283644	5.0283161138352e-08	0.000658106012978751
gbgene13460	6952.73103609132	-4.42736886263403	0.917926148766879	-5.41127975268435	6.25759248127753e-08	0.000818993703949603
gbgene14860	21008.601707095	-3.67697636820599	0.958293802152973	-5.40551891042591	6.46210321891743e-08	0.000845760069291913
gbgene5882	205.505238050326	4.31258736278723	0.810061317798263	5.36268585320887	8.1993534096674e-08	0.00107313137425727
gbgene5396	16.105861373747	2.60080114666535	0.482876358131323	5.30068461888767	1.1536923456962e-07	0.00150995254204719
gbgene5691	1008.44178272867	-4.21309111582191	0.934932280666233	-5.28893592512826	1.23029976549518e-07	0.00161021633308009
gbgene7680	1173.780963874	-3.66968832343939	0.957817760649352	-5.21708440768861	1.81761444469957e-07	0.0023788937852228
gbgene1300	440.610161482865	-3.74489745076695	0.956057051029668	-5.17232138074033	2.31203476824116e-07	0.00302599110467403
gbgene2760	25.1581716770221	-4.70237394762268	0.914215232958739	-5.16113203880524	2.45460968646475e-07	0.00321259315764507
