Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gbgene11066	0.316027784827694	0.345921389501931	0.830253551491668	0.496173305839085	0.619772142921412	NA
gbgene11068	0.632055569655388	0.739718196424529	0.835797333827876	0.82458910220747	0.409604910512761	NA
gbgene11069	0.718771927915044	1.16640721317185	0.940930656545108	1.18256047874496	0.236983383324777	NA
gbgene11075	0.995701877163588	0.136976891348757	0.966754141964382	0.141070068279672	0.887814589202309	NA
gbgene11076	1.07303999983463	1.07697027420187	0.961974791505854	1.09240932254469	0.274653227180533	NA
gbgene11080	0.951421001554846	-0.0123235984796502	0.848376391168707	-0.0146649323198657	0.988299496303785	NA
gbgene11084	0.67197289203806	0.473760015321546	0.839950662887948	0.575119231767484	0.565210662132087	NA
gbgene11087	0.315204993876443	-0.499131905026378	0.831177440074761	-0.533927258349171	0.593391862200723	NA
gbgene11094	0.19037580656937	0.345921389501931	0.830253551491668	0.394985125559426	0.692853865425422	NA
gbgene11102	0.391189371604257	0.514854458780889	0.83166987472234	0.621004444386167	0.534596698955782	NA
gbgene11103	1.80983116420032	0.0494584461404012	0.956493892185227	0.0516002697380272	0.95884720440811	NA
gbgene11111	0.315204993876443	-0.499131905026378	0.831177440074761	-0.533927258349171	0.593391862200723	NA
gbgene11112	1.18663501419101	0.704234771188461	0.963887787536185	0.728995400058546	0.466004476275246	NA
gbgene11115	0.390632041146203	0.28301771732893	0.83273623109969	0.304048648981175	0.7610908279733	NA
gbgene11120	0.19037580656937	0.345921389501931	0.830253551491668	0.394985125559426	0.692853865425422	NA
gbgene11121	0.822431376224758	0.865392421494803	0.849982379122972	0.966299968482385	0.333894101834225	NA
gbgene11123	0.581783888145415	0.658982505374947	0.933991859096324	0.670836808867514	0.502324495638054	NA
gbgene11132	0.329481493662622	-0.503849415003285	0.831249454586589	-0.548235962993993	0.583529891391051	NA
gbgene11134	0.200256234576833	0.00697179645390632	0.830253551491668	0.0083940171948096	0.993302621926253	NA
gbgene11136	0.751400400733714	0.49979558058994	0.841080891256919	0.615143179855406	0.538460168072193	NA
gbgene11159	0.19037580656937	0.345921389501931	0.830253551491668	0.394985125559426	0.692853865425422	NA
gbgene11165	0.948083354483082	0.864476308808258	0.842481174920324	1.00313650340467	0.315795004280614	NA
gbgene11208	0.463606610591174	0.653864194643276	0.833494121305813	0.709461377336262	0.478038211031625	NA
gbgene11213	1.0385424494072	-0.23423932324763	0.931126157769235	-0.253491284629884	0.799888595147679	NA
gbgene11214	2.96896891171077	0.870545500066648	0.978391625103221	0.899300661438571	0.368492535161449	NA
gbgene11215	0.866476618077799	0.701440239435528	0.979148311870022	0.695353421774054	0.48683384299922	NA
gbgene11255	0.253201795698532	0.345921389501931	0.830253551491668	0.425751059983668	0.670289251649949	NA
gbgene11262	0.369463400318796	0.237029643918958	0.913348526947524	0.265596348838896	0.790550097840246	NA
gbgene11263	0.307556239802664	0.345921389501931	0.830253551491668	0.496173241373716	0.619772188400056	NA
gbgene11265	0.426901070880991	0.254125121563097	0.912136269473586	0.343542206912363	0.731190594111222	NA
gbgene11264	2.58817639894946	1.48873431601816	0.893948885662024	1.6419638972438	0.100597486272969	NA
gbgene11274	0.253201795698532	0.345921389501931	0.830253551491668	0.425751059983668	0.670289251649949	NA
gbgene11288	1.18581718592166	-1.55708741161147	0.977602831245071	-1.55910367505728	0.118971843978408	NA
gbgene11289	2.8393826073018	0.595080870921068	0.977273262703607	0.611588217027034	0.540810235888922	NA
gbgene11292	3.93569457902341	0.0359917660685641	0.680190009648777	0.0529723524017314	0.957753936362059	NA
gbgene11293	3.97205942233666	-0.499079751888249	0.769396655053633	-0.647210913091681	0.517495449282796	NA
gbgene11297	1.86439395081942	-1.0159013096106	0.894315317018213	-1.11449385865672	0.265067377658561	NA
gbgene11298	1.22407798617489	-0.0338734429742879	0.962340517505831	-0.0350655879281513	0.972027441382591	NA
gbgene11308	0.632055569655388	0.739718196424529	0.835797333827876	0.82458910220747	0.409604910512761	NA
gbgene11313	1.45663657340237	0.55504087641183	0.976572262516178	0.572263172683256	0.567143695289845	NA
gbgene11318	0.441787923255372	-0.588802346460256	0.832796834426578	-0.670859482345379	0.502310050095466	NA
gbgene11325	0.494453288580421	-0.522855418784746	0.831534450604587	-0.704494225104296	0.481125045160013	NA
gbgene11329	0.289277684945393	0.16746049705441	0.830545697794135	0.182467468217567	0.855215882361452	NA
gbgene11331	22.2794944931812	-0.125853304369007	0.768761581019513	-0.163522249583397	NA	NA
gbgene11343	0.333751701042062	0.494704605942331	0.831371509460156	0.560123956828438	0.575394890724132	NA
gbgene11364	2.40157634307245	1.01184563529061	0.978964949272701	1.04057320785167	0.298073671104888	NA
gbgene11368	1.80591029632673	-0.796810038138568	0.979158673571239	-0.814222804922566	0.415517323376004	NA
gbgene11384	1.41153638365001	0.276397778348281	0.933755853460018	0.300868236497807	0.763514972306395	NA
gbgene11396	0.38203849168738	-0.570111980074796	0.832400133360082	-0.617172152713193	0.537121181431338	NA
gbgene11415	0.184209353653245	0.345921389501931	0.830253551491668	0.387278094844924	0.698550340495924	NA
gbgene11421	1.98566402267471	-0.194342654142263	0.927620922703351	-0.211260771610231	0.832683791788009	NA
gbgene11422	1.21394858661794	-0.174960238577475	0.97831046665126	-0.177913854471587	0.858790630138669	NA
gbgene11429	1.76699916240025	-0.832952459215246	0.978581874929297	-0.853356453676159	0.39346166238545	NA
