Gene_id,GB-12-6_S45,GB-12-5_S44,GB-12-13_S47,GB-12-15_S48,GB-18-1_S41,GB-18-2_S42,GB-18-3_S43,SB-18-8-S46
jg926,2929,6578,3584,5754,4281,1407,6317,6006
jg17447,392,603,650,497,363,661,496,677
jg30264,850,1731,723,1161,1197,272,1938,1292
jg14792,237,647,406,627,363,319,604,714
jg21781,0,1,4,8,6,0,1,1
jg2099,5,14,0,5,1,1,9,3
jg22163,4143,9295,2205,2215,3135,6210,3801,4482
jg11489,24,34,13,15,3,6,4,14
13318_g,0,0,0,0,0,0,0,0
jg19860,40,74,66,39,19,58,21,42
jg18282,82,113,110,69,39,155,59,67
9509_g,0,0,0,0,0,0,0,0
jg8261,0,2,3,2,286,3,345,9
jg18675,24,81,81,11,5,122,19,20
jg26841,258,609,211,395,329,129,463,450
jg16095,221,457,703,549,380,480,437,744
jg22100,11,21,0,4,0,1,6,4
jg36887,44,275,148,137,68,45,124,27
jg13094,14,63,21,13,18,20,33,19
jg14291,1555,2023,3841,3848,2466,5914,3606,3474
jg28507,67,83,89,102,61,221,68,30
jg2748,230,255,326,240,111,357,231,271
jg36658,4798,8447,4621,7334,5801,3687,8529,8043
11669_g,0,0,0,0,0,0,0,0
jg31751,9,10,6,11,21,0,4,2
jg13735,21,7,15,6,6,16,8,15
jg10338,0,0,0,0,3,0,0,0
jg26145,8,11,810,1215,1181,6,1571,1419
jg31891,0,0,0,0,0,0,0,0
jg28162,99,47,10,7,4,3,6,11
jg4776,12,33,15,38,12,3,20,23
jg24297,2,1,0,0,1,0,0,0
jg26898,7577,14691,5023,8080,6927,1676,10640,11138
jg2027,78,113,19,16,5,7,22,20
jg22674,9,50,14,102,35,10,11,66
jg20807,0,0,4,0,0,2,1,0
jg14304,0,2,1,0,2,0,8,10
jg3545,155,261,348,304,203,195,477,436
jg29734,0,0,0,13,7,1,3,12
jg21697,0,0,0,4,2,0,1,2
jg14079,0,0,0,13,10,0,0,9
jg13688,0,0,0,0,0,0,0,0
jg4928,1023,2183,10797,6964,2860,11198,6651,9069
jg2795,0,0,24,51,16,2,32,8
jg18690,427,688,952,823,458,835,747,909
jg5205,0,208,1,0,6,2,6,0
jg37147,141,113,62,94,45,141,59,92
jg13338,441,938,513,921,539,782,1059,883
jg5859,0,0,0,0,3,0,0,0
jg13476,0,0,0,0,0,0,0,0
jg15072,3,3,7,70,7,15,17,11
jg23171,4,3,0,0,0,0,0,1
jg31733,2,0,1,1,7,8,5,18
jg32060,16,289,34,44,41,2,113,67
jg29809,0,0,0,0,0,0,0,0
jg16402,0,0,0,0,0,0,0,0
jg21460,0,1,1,2,0,20,0,0
jg3940,365,386,3052,1321,947,4150,2089,761
jg31425,0,0,0,0,0,0,0,0
jg35699,317,491,1060,712,485,1309,1075,528
jg295,2384,5305,926,1309,1607,3,3246,3290
jg22334,7,35,0,2,0,5,1,6
jg21668,0,0,1,0,3,0,1,1
jg30797,0,0,0,0,0,0,0,0
jg10108,0,0,0,0,0,0,0,0
jg15691,0,0,0,0,0,0,2,2
jg6359,2,9,8,14,2,9,4,4
jg21374,45,90,43,61,67,10,170,97
jg29613,3,94,36,71,17,21,15,12
jg36226,74,393,279,124,165,82,122,168
jg13953,24,40,33,48,12,19,30,23
38026_g,13,9,5,1,1,6,2,7
8860_g,210,161,387,352,161,628,268,96
jg21342,11,8,4,23,15,0,15,27
jg6573,3,4,7,17,1,2,2,6
jg28303,4,4,0,1,0,0,1,3
jg12717,73,178,90,133,120,11,173,178
