Genes	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene10615	0	0	0	0	0	0	0	0
gbgene10616	0	0	0	0	0	0	0	0
gbgene10617	0	0	0	0	0	0	0	0
gbgene10618	0	0	0	0	0	0	0	0
gbgene10619	0	0	0	0	0	1	1	1
gbgene10620	0	0	0	0	0	0	1	0
gbgene10621	0	0	0	0	0	0	0	0
gbgene10622	0	0	0	0	0	0	0	0
gbgene10623	0	0	0	0	0	0	0	0
gbgene10624	0	0	0	0	0	0	0	0
gbgene10625	0	0	1	0	0	0	2	0
gbgene10626	0	0	0	0	0	0	0	0
gbgene10627	0	0	0	0	0	0	0	0
gbgene10628	0	0	0	0	0	7	0	0
gbgene10629	0	0	0	0	0	0	0	0
gbgene10630	0	0	0	0	0	0	0	0
gbgene10631	0	0	1	0	0	0	1	1
gbgene10632	0	0	0	0	0	0	0	0
gbgene10633	0	0	0	0	0	0	1	1
gbgene10634	0	0	0	0	0	0	2	0
gbgene10635	0	0	0	0	0	1	3	0
gbgene10636	0	0	0	0	0	0	0	0
gbgene10637	0	0	0	0	0	1	2	2
gbgene10638	0	0	0	3	0	2	0	0
gbgene10639	0	0	0	0	0	5	0	0
gbgene10640	0	0	1	4	0	6	0	0
gbgene10641	0	0	0	0	0	0	0	0
gbgene10642	0	0	0	0	0	0	0	1
gbgene10643	0	0	0	0	0	0	0	0
gbgene10644	0	0	0	0	2	0	0	1
gbgene10645	0	0	0	0	0	0	0	0
gbgene10646	0	0	0	0	0	1	0	0
gbgene10647	0	0	0	0	0	0	0	0
gbgene10648	0	0	0	0	0	0	1	0
gbgene10649	0	0	1	0	0	0	0	2
gbgene10650	0	0	1	0	0	1	0	0
gbgene10651	0	0	0	0	0	0	0	0
gbgene10652	0	0	1	0	0	1	0	0
gbgene10653	0	0	0	0	0	0	0	0
gbgene10654	0	0	0	0	0	0	0	0
gbgene10655	0	0	0	0	0	0	0	0
gbgene10656	0	0	0	1	0	0	0	0
gbgene10657	0	0	0	0	0	0	0	2
gbgene10658	0	0	0	0	0	0	0	0
gbgene10659	0	0	0	0	0	0	0	0
gbgene10660	0	0	0	1	0	0	0	1
gbgene10661	0	0	1	0	0	0	0	0
gbgene10662	0	0	0	0	0	0	0	0
gbgene10663	0	0	0	0	0	2	0	0
gbgene10664	0	0	0	0	0	0	0	0
gbgene10665	0	0	4	2	2	12	15	2
gbgene10666	0	0	0	1	0	0	1	1
gbgene10667	0	0	0	0	0	0	0	0
gbgene10668	0	0	0	0	0	5	3	1
gbgene10669	0	0	0	0	0	0	0	0
gbgene10670	0	0	0	0	1	1	5	0
gbgene10671	0	0	2	0	0	1	0	0
gbgene10672	0	0	3	0	0	4	1	1
gbgene10673	0	0	0	0	0	0	0	0
gbgene10674	0	0	0	0	0	0	0	0
gbgene10675	0	0	0	0	0	0	0	0
gbgene10676	0	0	0	0	0	0	0	0
gbgene10677	0	0	0	0	0	0	0	0
gbgene10678	0	0	0	0	0	0	0	0
gbgene10679	0	0	0	0	0	0	0	0
gbgene10680	0	0	0	0	0	0	0	0
gbgene10681	0	0	0	0	0	0	0	0
gbgene10682	0	0	0	0	0	0	0	0
gbgene10683	0	0	0	0	0	0	0	0
gbgene10684	0	0	0	0	0	0	0	0
gbgene10685	0	0	0	0	0	0	0	0
gbgene10686	0	0	0	0	0	0	0	0
gbgene10687	0	0	0	0	0	0	0	0
gbgene10688	0	0	0	0	0	0	0	0
gbgene10689	0	0	0	0	0	0	0	0
gbgene10690	0	0	0	0	0	0	3	0
gbgene10691	0	0	1	0	0	3	0	0
gbgene10692	0	0	1	0	0	0	0	0
gbgene10693	0	0	0	0	0	1	1	0
gbgene10694	0	0	0	0	0	0	0	0
gbgene10695	0	0	0	0	0	1	0	0
gbgene10696	0	0	0	0	0	0	0	0
gbgene10697	0	0	1	0	0	0	0	0
gbgene10698	0	0	0	0	0	3	1	0
gbgene10699	0	0	0	0	0	0	0	0
gbgene10700	0	0	1	1	0	6	0	9
gbgene10701	0	0	0	0	0	0	0	0
gbgene10702	0	0	0	0	0	0	0	0
gbgene10703	0	0	0	0	0	0	0	0
gbgene10704	0	0	0	2	0	0	0	0
gbgene10705	0	0	8	5	0	1	7	7
gbgene10706	0	0	0	0	0	0	0	0
gbgene10707	0	0	0	0	0	0	0	0
gbgene10708	0	0	0	0	0	0	2	0
gbgene10709	0	0	0	0	0	0	0	0
gbgene10710	0	0	0	0	0	0	0	0
gbgene10711	0	0	0	0	0	0	2	0
gbgene10712	0	0	0	0	0	0	0	0
gbgene10713	0	0	0	0	0	0	2	0
gbgene10714	0	0	0	1	0	2	0	0
gbgene10715	0	0	0	0	0	0	0	0
gbgene10716	0	0	0	0	0	0	0	0
gbgene10717	0	0	0	0	0	2	0	0
gbgene10718	0	0	0	0	0	0	0	0
gbgene10719	0	0	0	0	0	0	0	0
gbgene10720	0	0	0	0	0	0	0	0
gbgene10721	0	0	0	0	0	3	1	0
gbgene10722	0	0	0	0	0	0	0	0
gbgene10723	0	0	0	0	0	0	0	0
gbgene10724	0	0	0	0	0	0	0	0
gbgene10725	0	0	0	0	0	0	0	0
gbgene10726	0	0	0	0	0	0	0	0
gbgene10727	0	0	0	0	0	0	0	0
gbgene10728	0	0	0	0	0	0	0	0
gbgene10729	0	0	0	0	0	0	0	0
gbgene10730	0	0	0	0	0	0	0	0
gbgene10731	0	0	0	0	0	0	0	0
gbgene10732	0	0	0	0	0	0	0	0
gbgene10733	0	0	0	0	0	0	0	0
gbgene10734	0	0	0	0	0	0	0	0
gbgene10735	0	0	0	0	0	0	0	0
gbgene10736	0	0	0	0	0	0	0	0
gbgene10737	0	0	0	0	0	0	0	0
gbgene10738	0	0	0	0	0	0	0	0
gbgene10739	0	0	0	0	0	0	0	0
gbgene10740	0	0	0	0	0	0	0	0
gbgene10741	0	0	0	0	0	0	0	0
gbgene10742	0	0	0	0	0	0	0	0
gbgene10743	0	0	0	0	0	0	0	0
gbgene10744	0	0	0	0	0	0	0	0
gbgene10745	0	0	0	0	0	0	0	0
gbgene10746	0	0	0	0	0	0	0	0
gbgene10747	0	0	0	0	0	0	0	0
gbgene10748	0	0	0	0	0	0	0	0
gbgene10749	0	0	0	0	0	0	0	0
gbgene10750	0	0	0	0	0	0	0	0
gbgene10751	0	0	0	0	0	0	0	0
gbgene10752	0	0	0	0	0	0	0	0
gbgene10753	0	0	0	0	0	0	0	0
gbgene10754	0	0	0	0	0	0	0	0
gbgene10755	0	0	0	0	0	0	0	0
gbgene10756	0	0	0	0	0	0	0	0
gbgene10757	0	0	2	2	0	2	2	1
gbgene10758	0	0	0	0	0	0	0	0
gbgene10759	0	0	3	0	1	3	2	0
gbgene10760	0	0	2	1	0	0	3	0
gbgene10761	0	0	0	0	0	0	1	0
gbgene10762	0	0	3	1	1	0	1	4
gbgene10763	0	0	0	0	0	0	0	5
gbgene10764	0	0	0	0	0	0	0	0
gbgene10765	0	0	0	0	0	0	1	0
gbgene10766	0	0	0	0	0	0	0	0
gbgene10767	0	0	0	0	0	0	0	4
gbgene10768	0	0	0	0	0	1	0	0
gbgene10769	0	0	0	0	0	0	0	0
gbgene10770	0	0	0	0	0	0	0	0
gbgene10771	0	0	0	0	1	1	0	0
gbgene10772	0	0	0	0	0	0	0	0
gbgene10773	0	0	0	0	0	0	0	0
gbgene10774	0	0	0	0	0	1	0	0
gbgene10775	0	0	0	0	0	0	0	0
gbgene10776	0	0	2	1	1	1	2	7
gbgene10777	0	0	0	0	0	0	0	0
gbgene10778	0	0	1	0	6	2	7	3
gbgene10779	0	0	1	0	0	5	7	0
gbgene10780	0	0	0	0	0	0	0	0
gbgene10781	0	0	0	0	0	0	0	0
gbgene10782	0	0	0	0	0	0	0	0
gbgene10783	0	0	0	0	0	0	0	0
gbgene10784	0	0	0	0	0	0	0	0
gbgene10785	0	0	0	0	0	0	0	0
gbgene10786	0	0	0	0	0	0	0	0
gbgene10787	0	0	0	0	0	2	0	0
gbgene10788	0	0	1	0	0	1	0	0
gbgene10789	0	0	2	1	0	2	1	1
gbgene10790	0	0	0	0	0	0	1	0
gbgene10791	0	0	3	0	0	2	1	3
gbgene10792	0	0	0	0	0	0	0	0
gbgene10793	0	0	0	0	0	0	1	0
gbgene10794	0	0	0	0	0	0	0	0
gbgene10795	0	0	0	0	0	0	0	1
gbgene10796	0	0	0	0	0	0	0	0
gbgene10797	0	0	0	0	0	0	0	0
gbgene10798	0	0	0	0	0	1	0	0
gbgene10799	0	0	0	0	0	0	0	0
gbgene10800	0	0	0	0	0	4	0	0
gbgene10801	0	0	0	0	0	1	0	0
gbgene10802	0	0	0	0	0	1	0	0
gbgene10803	0	0	0	0	0	0	0	0
gbgene10804	0	0	0	1	0	3	0	0
gbgene10805	0	0	0	0	0	2	1	0
gbgene10806	0	0	0	0	0	0	0	0
gbgene10807	0	0	0	0	0	0	1	0
gbgene10808	0	0	1	0	1	1	0	0
gbgene10809	0	0	0	1	0	3	2	0
gbgene10810	0	0	0	3	0	1	1	2
gbgene10811	0	0	0	1	0	0	0	0
gbgene10812	0	0	0	0	0	0	0	2
gbgene10813	0	0	0	0	0	0	0	0
gbgene10814	0	0	0	0	0	0	0	0
gbgene10816	0	0	0	0	0	0	0	0
gbgene10815	0	0	3	0	0	0	0	0
gbgene10817	0	0	1	0	0	0	0	0
gbgene10818	0	0	0	0	0	0	0	0
gbgene10819	0	0	0	0	0	0	0	0
gbgene10820	0	0	0	0	0	0	0	0
gbgene10821	0	0	0	0	0	0	0	0
gbgene10822	0	0	0	0	0	0	0	0
gbgene10823	0	0	0	2	0	3	1	1
gbgene10824	0	0	0	0	0	0	0	0
gbgene10825	0	0	1	0	2	0	3	0
gbgene10826	0	0	0	0	0	0	0	0
gbgene10827	0	0	0	0	0	0	0	0
gbgene10828	0	0	0	0	0	0	0	0
gbgene10829	0	0	0	0	0	0	0	0
gbgene10830	0	0	0	0	0	0	0	0
gbgene10831	0	0	0	0	0	0	0	0
gbgene10832	0	0	0	0	0	1	0	0
gbgene10833	0	0	0	0	0	3	1	1
gbgene10834	0	0	0	0	0	2	0	0
gbgene10835	0	0	0	0	0	0	0	0
gbgene10836	0	0	0	0	0	0	0	0
gbgene10837	0	0	0	0	0	0	0	0
gbgene10838	0	0	0	0	0	0	0	0
gbgene10839	0	0	0	0	0	0	0	0
gbgene10840	0	0	0	0	0	0	0	0
gbgene10841	0	0	0	0	0	0	0	0
gbgene10842	0	0	0	0	0	0	0	0
gbgene10843	0	0	0	0	0	0	0	0
gbgene10844	0	0	0	0	0	0	0	0
gbgene10845	0	0	0	0	0	0	0	0
gbgene10846	0	0	0	0	0	0	0	0
gbgene10847	0	0	0	0	0	0	0	0
gbgene10848	0	0	0	0	0	0	0	0
gbgene10849	0	0	0	0	0	0	0	0
gbgene10850	0	0	0	0	0	0	0	0
gbgene10851	0	0	0	0	0	0	0	0
gbgene10852	0	0	0	0	0	0	0	0
gbgene10853	0	0	0	0	0	0	0	0
gbgene10854	0	0	0	0	0	0	0	0
gbgene10855	0	0	0	0	0	0	0	0
gbgene10856	0	0	0	0	0	0	0	0
gbgene10857	0	0	0	0	0	0	0	0
gbgene10858	0	0	0	0	0	0	0	0
gbgene10859	0	0	0	0	0	0	0	0
gbgene10860	0	0	0	0	0	0	0	0
gbgene10861	0	0	0	0	0	0	0	0
gbgene10862	0	0	0	0	0	0	0	0
gbgene10863	0	0	0	0	0	0	0	0
gbgene10864	0	0	0	0	0	0	0	0
gbgene10865	0	0	0	0	0	0	0	0
gbgene10866	0	0	0	0	0	2	0	3
gbgene10867	0	0	2	2	1	0	2	0
gbgene10868	0	0	0	0	0	0	0	0
gbgene10869	0	0	0	0	0	0	0	0
gbgene10870	0	0	0	0	0	0	0	0
gbgene10871	0	0	0	0	0	1	0	0
gbgene10872	0	0	0	0	0	0	0	0
gbgene10874	0	0	0	0	0	0	0	0
gbgene10873	0	0	0	0	0	0	0	0
gbgene10875	0	0	0	1	0	3	0	0
gbgene10876	0	0	0	0	0	0	0	0
gbgene10877	0	0	1	0	0	0	2	0
gbgene10878	0	0	0	0	1	0	2	0
gbgene10879	0	0	0	0	0	1	0	0
gbgene10880	0	0	2	0	0	3	0	1
gbgene10881	0	0	0	0	0	2	1	0
gbgene10882	0	0	0	0	0	0	0	0
gbgene10883	0	0	0	0	0	0	0	0
gbgene10884	0	0	0	0	0	0	0	0
gbgene10885	0	0	0	0	0	0	0	0
gbgene10886	0	0	0	0	0	0	0	0
gbgene10887	0	0	0	0	0	0	0	0
gbgene10888	0	0	0	0	0	2	1	3
gbgene10889	0	0	0	0	0	3	0	0
gbgene10890	0	0	0	0	0	0	0	0
gbgene10891	0	0	0	0	0	0	0	0
gbgene10892	0	0	0	0	0	0	0	0
gbgene10893	0	0	0	0	0	0	0	0
gbgene10894	0	0	0	0	0	0	0	0
gbgene10895	0	0	0	0	0	0	0	0
gbgene10896	0	0	0	0	0	0	0	0
gbgene10897	0	0	0	0	0	0	0	0
gbgene10898	0	0	0	0	0	0	0	0
gbgene10899	0	0	22	2	20	4	6	25
gbgene10900	0	0	177	16	164	0	124	190
gbgene10901	0	0	0	0	0	0	1	0
gbgene10902	0	0	0	0	0	0	0	0
gbgene10903	0	0	0	0	0	2	2	0
gbgene10904	0	0	0	0	0	0	0	0
gbgene10905	0	0	0	0	0	1	0	0
gbgene10906	0	0	1	1	1	2	2	1
gbgene10907	0	0	1	0	0	4	2	0
gbgene10908	0	0	0	0	0	0	0	0
gbgene10909	0	1	0	0	0	1	0	2
gbgene10910	0	5	0	0	1	0	0	0
gbgene10911	0	0	1	0	0	2	0	2
gbgene10912	0	0	3	0	0	0	0	0
gbgene10913	0	0	1	0	0	0	7	0
gbgene10914	0	0	0	0	0	0	0	1
gbgene10915	0	0	0	0	0	0	0	0
gbgene10916	0	0	0	0	0	0	0	0
gbgene10917	1	0	0	0	0	0	0	1
gbgene10918	0	0	0	0	0	0	0	0
gbgene10919	0	0	1	0	0	0	4	0
gbgene10920	0	0	0	0	0	0	0	0
gbgene10921	0	1	0	1	0	0	0	3
gbgene10922	0	0	2	0	1	9	5	5
gbgene10923	0	0	0	1	0	0	1	1
gbgene10924	0	0	0	0	0	0	0	0
gbgene10925	0	0	0	0	0	0	0	0
gbgene10926	0	0	0	0	2	2	1	0
gbgene10927	0	0	0	0	0	1	0	0
gbgene10928	0	0	0	0	0	0	0	0
gbgene10929	0	0	0	0	0	0	2	0
gbgene10930	0	0	0	0	0	0	0	0
gbgene10931	0	0	0	0	0	0	0	0
gbgene10932	0	0	0	0	0	0	0	0
gbgene10933	0	0	1	0	0	0	0	0
gbgene10934	0	0	0	0	0	0	0	0
gbgene10935	0	0	0	0	0	0	0	0
gbgene10936	0	0	0	0	0	0	0	0
gbgene10937	0	0	0	0	0	0	0	0
gbgene10938	0	0	0	0	0	0	0	0
gbgene10939	0	0	3	0	1	2	1	0
gbgene10940	0	0	1	0	0	0	0	0
gbgene10941	0	0	2	0	0	0	0	0
gbgene10942	0	0	0	0	0	0	0	0
gbgene10943	0	0	0	0	0	0	0	0
gbgene10944	0	0	0	0	0	0	0	2
gbgene10945	0	0	0	0	0	0	0	0
gbgene10946	0	0	0	0	0	0	0	0
gbgene10947	0	0	0	0	0	0	0	0
gbgene10948	0	0	0	0	0	0	0	0
gbgene10949	0	0	0	0	0	1	0	1
gbgene10950	0	0	0	0	0	0	1	0
gbgene10951	0	0	0	0	0	0	0	0
gbgene10952	0	0	0	0	0	0	0	0
gbgene10953	0	0	7	4	2	3	8	9
gbgene10954	0	0	0	0	0	0	0	0
gbgene10955	0	0	0	0	0	0	0	0
gbgene10956	0	0	0	0	0	0	0	0
gbgene10957	0	0	0	0	0	0	0	0
gbgene10958	0	0	0	0	0	0	0	0
gbgene10959	0	0	1	1	0	0	0	0
gbgene10960	0	0	0	0	0	0	0	0
gbgene10961	0	0	0	0	0	0	0	0
gbgene10962	0	0	0	0	0	0	0	0
gbgene10963	0	0	0	1	0	3	2	5
gbgene10964	0	0	0	0	0	0	0	0
gbgene10965	0	0	0	0	0	1	0	0
gbgene10966	0	0	0	0	0	0	0	0
gbgene10967	0	0	0	0	0	0	0	0
gbgene10968	0	0	0	0	0	0	0	0
gbgene10969	0	0	1	0	0	1	2	1
gbgene10970	0	0	0	0	0	0	0	0
gbgene10971	0	0	1	0	0	3	0	0
gbgene10972	0	0	0	0	0	1	0	0
gbgene10973	0	0	0	0	0	0	0	0
gbgene10974	0	0	1	1	0	0	0	1
gbgene10975	0	0	0	0	0	0	0	0
gbgene10976	0	0	0	0	0	0	0	0
gbgene10977	0	0	0	0	1	0	0	1
gbgene10978	0	0	0	0	0	0	0	0
gbgene10979	0	0	0	0	0	0	0	0
gbgene10980	0	0	0	0	0	0	0	0
gbgene10981	0	0	0	0	0	0	0	0
gbgene10982	0	0	0	0	0	0	0	0
gbgene10983	0	0	0	0	0	0	1	0
gbgene10984	0	0	0	0	0	0	0	0
gbgene10985	0	0	4	9	5	5	1	21
gbgene10986	0	0	0	3	0	2	4	2
gbgene10987	0	0	0	0	0	0	0	0
gbgene10988	0	0	0	0	0	0	0	0
gbgene10989	0	0	0	0	0	2	0	0
gbgene10990	0	0	0	0	1	0	0	0
gbgene10991	0	0	0	0	0	0	0	1
gbgene10992	0	0	3	1	0	3	0	2
gbgene10993	0	0	1	0	0	1	0	0
gbgene10994	0	0	0	0	0	0	0	0
gbgene10995	0	0	0	0	0	0	0	0
gbgene10996	0	0	0	0	1	0	0	1
gbgene10997	0	0	0	2	0	0	1	10
gbgene10998	0	0	0	0	0	0	0	0
gbgene10999	0	0	0	0	0	0	1	0
gbgene11000	0	0	0	0	0	0	0	0
gbgene11001	0	0	0	0	0	0	1	0
gbgene11002	0	0	0	0	0	0	0	0
gbgene11003	0	0	0	0	0	0	0	0
gbgene11004	0	0	1	0	0	0	2	0
gbgene11005	0	0	0	0	0	3	0	0
gbgene11006	0	0	0	0	0	0	0	0
gbgene11007	0	0	0	0	0	1	1	0
gbgene11008	0	0	0	0	0	0	0	0
gbgene11009	0	0	0	1	0	2	0	3
gbgene11010	0	0	0	0	0	0	0	0
gbgene11011	0	0	0	0	0	0	0	0
gbgene11012	0	0	0	0	0	1	0	0
gbgene11013	0	0	0	0	0	2	0	0
gbgene11014	0	0	0	0	0	0	0	0
gbgene11015	0	0	0	0	0	1	0	1
gbgene11016	0	0	0	0	0	0	0	0
gbgene11017	0	0	1	0	0	0	0	2
gbgene11018	0	0	0	0	0	0	0	0
gbgene11019	0	0	0	0	0	0	1	1
gbgene11020	0	0	0	0	0	0	0	0
gbgene11021	0	0	0	0	0	0	0	0
gbgene11022	0	0	0	0	0	0	0	0
gbgene11023	0	0	0	0	0	0	1	0
gbgene11024	0	0	0	0	0	0	0	1
gbgene11025	0	0	0	0	0	0	0	0
gbgene11026	0	0	0	0	0	0	0	0
gbgene11027	0	0	0	0	0	0	0	0
gbgene11028	0	0	0	0	0	0	0	0
gbgene11029	0	0	0	0	0	0	0	0
gbgene11030	0	0	0	0	0	0	0	0
gbgene11031	0	0	0	0	0	0	0	0
gbgene11032	0	0	0	0	0	0	0	0
gbgene11033	0	0	0	0	0	0	0	0
gbgene11034	0	0	0	0	0	0	0	0
gbgene11035	0	0	0	0	0	0	0	0
gbgene11036	0	0	0	0	0	0	0	0
gbgene11037	0	0	0	0	0	0	2	0
gbgene11038	0	0	0	0	0	0	0	0
gbgene11039	0	0	0	0	0	0	0	0
gbgene11040	0	0	1	0	0	2	0	0
gbgene11041	0	0	0	0	0	1	0	0
gbgene11042	0	0	0	0	0	0	0	0
gbgene11043	0	0	0	2	0	0	0	0
gbgene11044	0	0	0	0	0	1	0	0
gbgene11045	0	0	0	0	0	3	0	0
gbgene11046	0	0	0	0	0	0	0	0
gbgene11047	0	0	2	0	0	3	4	0
gbgene11048	0	0	0	1	1	5	6	1
gbgene11049	0	0	0	1	0	6	4	0
gbgene11050	0	0	0	0	0	4	0	0
gbgene11051	0	0	1	0	0	1	0	0
gbgene11052	0	0	0	0	0	0	1	0
gbgene11053	0	0	2	0	0	0	1	3
gbgene11054	0	0	0	1	0	2	3	0
gbgene11055	0	0	0	0	0	0	0	0
gbgene11056	0	0	0	0	0	0	0	0
gbgene11057	0	0	0	0	0	1	0	0
gbgene11058	0	0	0	0	0	0	0	0
gbgene11059	0	0	0	0	0	0	0	0
gbgene11060	0	0	0	1	0	0	0	0
gbgene11061	0	0	0	0	0	0	0	0
gbgene11062	0	0	1	0	0	0	0	0
gbgene11063	0	0	0	0	0	0	1	0
gbgene11064	0	0	0	0	0	0	0	0
gbgene11065	0	0	0	0	0	0	0	0
gbgene11066	0	0	0	0	0	2	0	0
gbgene11067	0	0	0	1	0	0	0	0
gbgene11068	0	0	0	0	0	4	0	0
gbgene11069	0	0	0	0	1	3	1	0
gbgene11070	0	0	0	0	0	0	1	0
gbgene11071	0	0	0	0	0	0	0	0
gbgene11072	0	0	0	0	0	0	0	0
gbgene11073	0	0	0	0	0	0	0	0
gbgene11074	0	0	0	0	0	0	0	0
gbgene11075	0	0	3	1	0	1	2	2
gbgene11076	0	0	1	1	0	3	2	2
gbgene11077	0	0	0	0	0	0	0	0
gbgene11078	0	0	0	0	0	0	0	0
gbgene11079	0	0	0	0	0	0	0	0
gbgene11080	0	0	4	0	0	3	0	0
gbgene11081	0	0	0	0	0	0	0	0
gbgene11082	0	0	0	0	0	0	0	0
gbgene11083	0	0	0	0	0	0	0	0
gbgene11084	0	0	1	0	0	0	0	6
gbgene11085	0	0	0	0	0	0	1	0
gbgene11086	0	0	0	0	0	0	0	0
gbgene11087	0	0	0	3	0	0	0	0
gbgene11088	0	0	0	0	0	0	0	0
gbgene11089	0	0	0	0	0	0	0	0
gbgene11090	0	0	0	0	0	0	0	0
gbgene11091	0	0	0	0	0	0	0	0
gbgene11092	0	0	0	0	0	0	0	0
gbgene11093	0	0	0	0	0	0	0	0
gbgene11094	0	0	0	0	0	0	2	0
gbgene11095	0	0	0	0	0	0	0	0
gbgene11096	0	0	0	0	0	0	0	0
gbgene11097	0	0	0	0	0	0	0	0
gbgene11098	0	0	0	0	0	0	0	0
gbgene11099	0	0	0	0	0	0	0	0
gbgene11100	0	0	0	0	0	0	0	0
gbgene11101	0	0	0	0	0	0	0	0
gbgene11102	0	0	0	0	2	0	0	1
gbgene11103	0	0	2	6	0	3	2	3
gbgene11104	0	0	0	0	0	0	1	0
gbgene11105	0	0	0	0	0	0	0	1
gbgene11106	0	0	0	0	0	0	0	0
gbgene11107	0	0	0	0	0	0	0	0
gbgene11108	0	0	1	0	0	0	0	0
gbgene11109	0	0	0	0	0	0	0	0
gbgene11110	0	0	0	0	0	0	0	0
gbgene11111	0	0	0	3	0	0	0	0
gbgene11112	0	0	3	0	2	1	1	3
gbgene11113	0	0	0	0	0	0	0	0
gbgene11114	0	0	0	0	0	0	0	0
gbgene11115	0	0	0	1	0	0	3	0
gbgene11116	0	0	0	0	0	0	0	0
gbgene11117	0	0	1	0	0	0	0	0
gbgene11118	0	0	0	0	0	0	0	0
gbgene11119	0	0	0	0	0	0	0	0
gbgene11120	0	0	0	0	0	0	2	0
gbgene11121	0	0	0	0	0	4	2	0
gbgene11122	0	0	0	0	0	0	0	1
gbgene11123	1	0	0	0	2	0	2	0
gbgene11124	0	0	0	0	0	0	0	0
gbgene11126	0	0	0	0	0	0	0	0
gbgene11125	0	0	0	0	0	0	0	0
gbgene11127	0	0	0	0	0	0	0	0
gbgene11128	0	0	0	0	0	0	0	0
gbgene11129	0	0	0	0	0	0	0	0
gbgene11130	0	0	0	0	0	0	0	0
gbgene11131	0	0	0	0	0	0	0	0
gbgene11132	0	0	1	2	0	0	0	0
gbgene11133	0	0	0	0	0	0	0	0
gbgene11134	0	0	0	1	0	0	1	0
gbgene11135	0	0	0	0	0	0	0	0
gbgene11136	0	0	1	0	0	4	0	0
gbgene11137	0	0	0	0	0	0	0	0
gbgene11138	0	0	0	0	0	0	0	0
gbgene11139	0	0	0	0	0	0	0	0
gbgene11140	0	0	0	0	0	0	0	0
gbgene11141	0	0	0	0	0	0	0	0
gbgene11142	0	0	0	0	0	0	0	0
gbgene11143	0	0	0	0	0	0	0	0
gbgene11144	0	0	0	0	0	0	0	0
gbgene11145	0	0	0	0	0	0	0	0
gbgene11146	0	0	0	0	0	0	0	0
gbgene11147	0	0	0	0	0	0	0	0
gbgene11148	0	0	0	0	0	0	0	0
gbgene11149	0	0	0	0	0	0	0	0
gbgene11150	0	0	0	0	0	0	0	0
gbgene11151	0	0	0	0	0	0	0	0
gbgene11152	0	0	0	0	0	0	0	0
gbgene11153	0	0	0	0	0	0	0	0
gbgene11154	0	0	0	0	0	0	0	0
gbgene11155	0	0	0	0	0	0	0	0
gbgene11156	0	0	0	0	0	0	0	0
gbgene11157	0	0	0	0	0	0	0	0
gbgene11158	0	0	0	0	0	0	0	0
gbgene11159	0	0	0	0	0	0	2	0
gbgene11160	0	0	0	0	0	0	0	0
gbgene11161	0	0	0	0	0	0	0	0
gbgene11162	0	0	0	0	0	0	0	0
gbgene11163	0	0	0	0	0	0	0	0
gbgene11164	0	0	0	0	0	0	0	0
gbgene11165	0	0	0	0	0	6	0	0
gbgene11166	0	0	0	0	0	0	0	0
gbgene11167	0	0	0	0	0	0	0	0
gbgene11168	0	0	0	0	0	0	0	0
gbgene11169	0	0	0	0	0	0	0	0
gbgene11170	0	0	0	0	0	0	0	0
gbgene11172	0	0	0	0	0	0	0	0
gbgene11171	0	0	0	0	0	0	0	0
gbgene11173	0	0	0	0	0	0	0	0
gbgene11174	0	0	0	0	0	0	0	0
gbgene11175	0	0	0	0	0	0	0	0
gbgene11176	0	0	0	0	0	0	0	0
gbgene11177	0	0	0	0	0	0	1	0
gbgene11178	0	0	0	0	0	0	0	0
gbgene11179	0	0	0	0	0	0	0	0
gbgene11181	0	0	0	0	0	0	0	0
gbgene11180	0	0	0	0	0	0	0	0
gbgene11182	0	0	0	0	0	0	0	0
gbgene11183	0	0	0	0	0	0	0	0
gbgene11184	0	0	0	0	0	0	0	0
gbgene11185	0	0	0	0	0	0	0	0
gbgene11186	0	0	0	0	0	0	0	0
gbgene11187	0	0	0	0	0	0	0	0
gbgene11188	0	0	0	0	0	0	0	0
gbgene11189	0	0	0	0	0	0	0	0
gbgene11190	0	0	0	0	0	0	0	0
gbgene11191	0	0	0	0	0	0	0	0
gbgene11192	0	0	0	0	0	0	0	0
gbgene11193	0	0	0	0	0	0	0	0
gbgene11194	0	0	0	0	0	0	0	0
gbgene11195	0	0	0	0	0	0	0	0
gbgene11196	0	0	0	0	0	0	0	0
gbgene11197	0	0	0	0	0	0	0	0
gbgene11198	0	0	0	0	0	0	0	0
gbgene11199	0	0	0	0	0	0	0	0
gbgene11200	0	0	0	0	0	0	0	0
gbgene11201	0	0	0	0	0	0	0	0
gbgene11202	0	0	0	0	0	0	0	0
gbgene11203	0	0	0	0	0	0	0	0
gbgene11204	0	0	0	0	0	0	0	0
gbgene11205	0	0	0	0	0	0	0	0
gbgene11206	0	0	0	0	0	0	0	0
gbgene11207	0	0	0	0	0	0	0	0
gbgene11208	0	0	0	0	0	0	1	4
gbgene11209	0	0	0	0	0	0	0	0
gbgene11210	0	0	0	0	0	0	0	0
gbgene11211	0	0	0	0	0	0	0	0
gbgene11212	0	0	0	0	0	0	0	0
gbgene11213	0	0	0	6	0	2	0	1
gbgene11214	0	0	0	6	0	10	7	1
gbgene11215	0	0	2	0	0	1	3	2
gbgene11216	0	0	0	0	0	0	0	0
gbgene11217	0	0	0	0	0	0	0	0
gbgene11218	0	1	0	0	0	0	0	0
gbgene11219	0	0	0	0	0	0	0	0
gbgene11220	0	0	0	0	0	0	0	0
gbgene11221	0	0	0	0	0	0	0	0
