Genes	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene182	1130	564	1312	1298	746	1127	1362	1520
gbgene183	6405	3828	1262	2474	2325	2	3203	3488
gbgene184	2040	1085	1294	1207	936	1283	1520	1620
gbgene185	4035	1610	1100	2477	1601	98	2213	2533
gbgene186	1246	491	581	796	600	541	833	1053
gbgene187	1234	481	1042	815	729	680	1003	1263
gbgene188	68	19	25	33	38	37	58	47
gbgene189	2632	1518	2263	2272	1946	2558	2671	3284
gbgene190	1263	514	745	1199	1025	630	1262	1194
gbgene191	3179	1497	1951	2707	1935	849	3216	3273
gbgene192	47	25	42	33	19	24	25	95
gbgene193	1144	686	4890	6313	4023	9682	6282	1965
gbgene194	478	258	403	556	383	263	546	544
gbgene195	1832	395	486	739	482	402	710	905
gbgene196	113	110	115	147	90	82	144	152
gbgene197	229	146	181	133	124	190	210	224
gbgene198	98	71	19	58	28	0	24	70
gbgene199	3526	2049	1120	1223	2721	3266	3335	2144
gbgene200	1196	544	1055	1018	681	908	1262	1158
gbgene201	180	105	409	378	83	149	173	485
gbgene202	401	162	325	408	298	237	461	422
gbgene203	10010	5296	20303	17055	9813	17499	14800	17888
gbgene204	425	227	340	529	359	229	566	576
gbgene205	46	96	66	46	42	50	82	103
gbgene206	9877	5253	3188	5312	4455	1	6343	6872
gbgene207	151	18	97	83	57	71	109	114
gbgene208	684	177	183	364	326	27	488	435
gbgene209	1380	254	1099	1997	919	671	1464	1531
gbgene210	217	79	134	144	115	43	167	275
gbgene211	399	224	370	316	267	329	377	486
gbgene212	61	4	451	236	644	729	1289	614
gbgene213	2591	1795	3638	4437	3907	6713	4584	3910
gbgene214	168	59	77	73	51	33	92	72
gbgene215	8	14	14	10	6	11	9	14
gbgene216	607	469	575	416	293	1351	703	369
gbgene217	701	852	184	80	584	277	677	342
gbgene218	0	0	0	0	0	0	0	0
gbgene219	19	2	0	0	2	0	1	3
gbgene220	317	139	122	280	315	136	406	342
gbgene221	1268	550	934	1209	932	281	1601	1522
gbgene222	2604	2932	559	381	2522	5555	3384	82
gbgene223	6794	3712	5339	4757	3279	7245	4927	3911
gbgene224	5703	3004	4505	3708	1780	4841	3092	3801
gbgene225	566	298	323	339	343	295	354	421
gbgene226	5728	2663	1320	2097	1775	245	2448	2567
gbgene227	2305	1058	1530	2404	1946	1042	2637	2518
gbgene228	561	362	479	763	527	94	807	886
gbgene229	6973	3808	3523	4574	3397	1280	5422	6338
gbgene230	293	141	261	384	253	60	395	448
gbgene231	117	1	14	41	0	0	0	3
gbgene232	2	2	3	0	3	1	1	2
gbgene233	21716	10554	9054	13002	9056	4426	14417	18314
gbgene234	1099	402	812	965	773	634	1045	1324
gbgene235	2209	1170	1013	1529	999	312	1476	1680
gbgene236	318	178	182	183	150	204	229	268
gbgene237	3586	2091	1998	2307	2082	786	2637	3926
gbgene238	27888	16625	6704	10878	11025	8	16157	18252
gbgene239	5	2	1	0	2	0	2	2
gbgene240	1344	707	518	1700	1045	12	1255	1701
gbgene241	9956	8055	63	98	686	777	915	279
gbgene242	8160	4320	8141	7632	4923	6041	7700	9951
gbgene243	2052	719	943	1744	1400	248	2424	1811
gbgene244	798	438	782	774	531	559	674	957
gbgene245	56	70	93	72	28	70	64	119
gbgene246	0	0	0	0	0	0	0	0
gbgene247	3	1	3	2	1	1	2	4
gbgene248	17733	9459	3848	6480	5783	5	8089	9793
gbgene249	74719	42096	17238	27385	24262	14	38312	43550
gbgene250	26	3	8	9	5	3	7	11
gbgene251	7	7	24	30	16	4	14	42
gbgene252	0	0	0	0	0	0	0	0
gbgene253	32	25	2	38	30	4	61	35
gbgene254	16	9	0	0	0	0	0	0
gbgene255	49	17	31	36	19	23	34	55
gbgene256	29666	13242	7996	18317	13267	8	18033	20424
gbgene257	109	61	97	119	70	34	161	136
gbgene258	76275	39077	16356	26199	22470	15	33183	39335
gbgene259	11419	5648	6268	9081	5736	4303	9720	8909
gbgene260	883	656	511	717	393	2	1336	893
gbgene261	981	366	267	522	422	10	557	606
gbgene262	82	94	191	126	58	134	119	138
gbgene263	2625	941	5617	5071	3839	6137	7041	5293
gbgene264	3551	1355	873	2188	1599	1	2026	2240
gbgene265	2240	232	323	300	4999	10199	1725	27
gbgene266	0	0	0	0	0	0	0	0
gbgene267	0	0	0	0	0	0	0	0
gbgene268	28	34	39	50	27	71	66	48
gbgene269	1	1	1	0	2	7	5	1
gbgene270	0	0	1	0	0	10	0	0
gbgene271	0	0	1	0	0	0	0	0
gbgene272	335	65	49	56	28	61	87	70
gbgene273	101	56	98	51	108	21	75	306
gbgene274	32	10	13	8	4	7	8	1
gbgene275	0	1	17	21	1	134	6	2
gbgene276	21	18	119	71	541	213	651	250
gbgene277	465	241	2280	1419	1379	2078	2004	1534
gbgene278	720	365	653	784	517	231	991	1140
gbgene279	647	345	365	785	579	35	904	875
gbgene280	0	0	0	0	0	0	1	0
gbgene281	3	1	0	0	0	0	0	0
gbgene282	3	0	0	1	0	0	0	0
gbgene283	0	0	0	0	0	0	0	0
gbgene284	30	9	21	60	8	23	41	17
gbgene285	0	0	0	10	3	4	3	15
gbgene286	8938	3690	2872	5761	4681	365	7118	7454
gbgene287	474	235	616	492	403	663	488	496
gbgene288	183	56	81	181	141	40	229	175
gbgene289	0	0	1	0	0	0	0	3
gbgene290	0	4	0	0	0	0	0	0
gbgene291	0	0	0	0	0	3	0	0
gbgene292	0	0	0	0	0	0	0	0
gbgene293	60	42	47	68	58	13	69	58
gbgene294	0	0	28	11	0	1	5	0
gbgene295	24	18	16	26	5	34	24	15
gbgene296	0	0	0	0	0	1	0	0
gbgene297	0	0	0	0	0	1	0	0
gbgene298	4	2	7	32	18	2	23	27
gbgene299	223	88	430	350	142	240	294	432
gbgene300	121	127	402	274	48	667	183	126
gbgene301	0	0	0	0	0	0	0	0
gbgene302	0	0	0	1	0	0	0	0
gbgene303	16	3	14	16	9	11	22	20
gbgene304	28	30	118	74	117	53	41	66
gbgene305	1	0	0	0	0	0	0	0
gbgene306	0	0	0	0	0	0	0	0
gbgene307	0	0	0	3	0	0	0	1
gbgene308	0	0	0	0	0	0	0	0
gbgene309	0	0	0	0	1	0	0	0
gbgene310	119	143	481	283	117	330	248	360
gbgene311	82	71	290	210	81	117	158	201
gbgene312	2847	2141	739	708	70281	24397	81299	8363
gbgene313	5	5	2	0	3	9	1	8
gbgene314	463	329	642	457	255	586	390	515
gbgene315	78	56	92	59	57	55	77	75
gbgene316	17	8	14	24	11	7	20	30
gbgene317	45	75	77	72	47	41	117	79
gbgene318	697	494	1089	1017	623	853	917	940
gbgene319	1184	863	2478	1199	634	1913	965	1319
gbgene320	21	23	71	58	39	31	68	67
gbgene321	0	0	0	0	0	0	0	0
gbgene322	0	0	0	0	0	0	0	0
gbgene323	752	465	218	419	419	6	568	612
gbgene324	648	430	1120	841	456	812	653	983
gbgene325	0	0	0	0	0	0	0	0
gbgene326	3	0	0	1	0	1	1	0
gbgene327	130	112	112	92	113	133	183	129
gbgene328	19	27	32	14	26	27	26	34
gbgene329	122	56	105	69	59	75	131	150
gbgene330	35	43	92	63	48	46	113	115
gbgene331	289	187	175	108	543	231	663	219
gbgene332	0	0	0	0	0	0	0	0
gbgene333	35	34	111	60	12	21	24	31
gbgene334	176	160	169	118	116	174	113	126
gbgene335	182	122	1256	799	84	502	136	744
gbgene336	0	0	1	3	1	1	1	1
gbgene337	5	6	6	1	2	1	5	11
gbgene338	6	3	2	0	0	2	1	5
gbgene339	109	54	57	55	30	78	94	127
gbgene340	2308	1487	1840	1570	1278	1324	2067	1969
gbgene341	755	444	521	412	308	600	427	632
gbgene342	1328	837	1242	922	964	1670	1507	1375
gbgene343	149	148	115	149	101	194	240	232
gbgene344	384	115	553	478	303	862	734	713
gbgene345	0	0	0	0	0	0	0	0
gbgene346	0	0	0	0	0	0	0	0
gbgene347	12	0	12	15	2	21	16	6
gbgene348	0	0	0	1	0	0	0	2
gbgene349	254	60	162	302	313	0	453	408
gbgene350	174	150	175	260	146	172	274	263
gbgene351	1925	1008	1454	1261	1073	1633	1746	1783
gbgene352	11277	7003	22405	14558	5930	13569	17630	20070
gbgene353	3	3	2	0	0	0	0	0
gbgene354	50	0	5	14	4	6	11	12
gbgene355	355	238	482	538	308	194	562	577
gbgene356	1095	711	867	842	708	843	1220	1229
gbgene357	18	3	25	36	33	0	66	75
gbgene358	0	0	1	1	0	2	2	0
gbgene359	722	884	1561	845	671	1709	1518	1503
gbgene360	8	11	59	45	14	43	27	57
gbgene361	419	232	442	275	238	665	434	673
gbgene362	75	146	116	86	33	115	84	111
gbgene363	3731	2253	3863	3111	2470	5412	4521	5325
gbgene364	127	85	100	109	80	138	170	188
gbgene365	2203	899	859	635	502	1120	830	1020
gbgene366	943	932	2314	1191	731	1957	1766	2048
gbgene367	1410	678	1498	1235	748	1606	1065	708
gbgene368	6	0	0	1	0	2	0	0
gbgene369	1353	845	935	715	898	1279	1361	1079
gbgene370	6991	5354	15356	13853	7436	18115	11387	14190
gbgene371	125	100	327	255	151	332	248	245
gbgene372	2163	1236	2452	1861	1220	2544	1891	2682
gbgene373	878	497	564	556	403	504	664	726
gbgene374	0	1	0	0	0	1	0	1
gbgene375	0	0	0	0	0	0	0	1
gbgene376	0	0	0	0	0	0	0	0
gbgene377	0	0	0	0	0	0	0	0
gbgene378	0	0	0	0	0	0	0	0
gbgene379	379	403	337	422	995	1061	684	1175
gbgene380	255	156	334	254	176	333	238	313
gbgene381	418	288	462	337	257	474	458	530
gbgene382	50	24	51	64	51	90	72	100
gbgene383	4	2	4	14	5	6	1	4
gbgene384	309	149	352	376	261	291	365	344
gbgene385	83	77	121	60	66	70	127	166
gbgene386	9962	4539	15326	16389	11153	8865	7335	8272
gbgene387	32	36	42	66	32	20	35	34
gbgene388	84	130	135	84	45	93	131	125
gbgene389	0	0	0	0	0	0	0	0
gbgene390	227	224	309	180	147	170	347	310
gbgene391	272	286	788	348	137	610	361	514
gbgene392	2881	1647	2695	1754	1847	2682	2308	2426
gbgene393	0	1	6	0	1	38	4	6
gbgene394	306	219	428	268	340	1210	501	416
gbgene395	3432	1920	3024	2005	1524	3225	2803	3371
gbgene396	2050	1557	2519	2374	1226	2337	1742	3172
gbgene397	0	0	0	0	0	0	0	0
gbgene398	1	5	1	2	2	1	4	3
gbgene399	1	0	0	1	0	2	0	3
gbgene400	1134	890	1012	679	641	1267	1000	1000
gbgene401	69	53	73	52	21	64	43	50
gbgene402	0	0	0	0	0	0	0	0
gbgene403	21816	12119	5949	4181	2968	5804	5364	5089
gbgene404	144	142	2	2	2	2	1	2
gbgene405	26586	21956	457	504	378	128	379	236
gbgene406	1	0	0	0	0	0	0	0
gbgene407	414	362	620	327	178	592	492	486
gbgene408	4	2	1	3	0	1	0	1
gbgene409	189	338	353	272	372	696	537	1013
gbgene410	658	364	264	431	329	88	591	515
gbgene411	0	0	0	0	0	0	0	0
gbgene412	0	0	0	0	0	0	0	0
gbgene413	357	168	369	259	133	157	339	404
gbgene414	35	21	20	16	23	20	42	32
gbgene415	115	101	140	142	42	140	104	146
gbgene416	109	104	109	74	67	61	99	116
gbgene417	660	489	699	395	413	506	546	782
gbgene418	2458	1635	751	660	783	1341	1298	877
gbgene419	1312	657	1412	1229	1112	1340	1187	1541
gbgene420	214	169	81	110	109	24	149	118
gbgene421	0	0	0	0	0	0	0	0
gbgene422	376	378	986	800	423	1915	790	197
gbgene423	218	227	266	136	136	231	316	300
gbgene424	318	171	1398	1045	933	2316	1765	1927
gbgene425	1101	882	1910	1570	1005	2023	1880	1414
gbgene426	908	452	482	573	477	579	644	662
gbgene427	357	281	479	323	234	319	381	365
gbgene428	7	1	7	1	7	2	10	7
gbgene429	5900	9920	192	121	1902	444	2075	387
gbgene430	16	2	4	2	3	0	14	4
gbgene431	2248	1175	2188	1373	1463	2466	2330	2159
gbgene432	3	0	2	1	4	0	3	0
gbgene433	0	0	1	0	1	3	0	9
gbgene434	6249	3960	2084	1794	2194	4258	3389	4565
gbgene435	70	43	22	11	166	50	214	38
gbgene436	347	262	215	191	225	309	318	259
gbgene437	2	4	2	0	0	3	0	2
gbgene438	0	0	0	0	0	0	1	0
gbgene439	1	2	3	0	0	0	0	0
gbgene440	242	192	74	49	62	72	57	86
gbgene441	7	4	0	8	1	0	4	2
gbgene442	31	56	82	69	67	151	65	59
gbgene443	718	398	1270	927	1145	670	1482	408
gbgene444	0	0	0	0	0	0	0	0
gbgene445	0	0	0	0	0	0	0	0
gbgene446	0	0	0	0	0	0	0	0
gbgene447	0	0	0	0	0	0	0	0
gbgene448	0	0	0	0	0	0	0	0
gbgene449	0	0	0	0	0	0	0	0
gbgene450	0	0	0	0	0	0	1	0
gbgene451	6	0	6	8	0	12	3	7
gbgene452	103	48	116	71	56	111	120	119
gbgene453	0	0	0	0	0	0	0	0
gbgene454	2560	1821	2222	1716	1354	2127	2264	2542
gbgene455	2212	1479	1776	1388	1130	2008	1937	2159
gbgene456	0	0	0	0	0	0	0	1
gbgene457	752	584	805	695	561	808	977	937
gbgene458	701	385	1628	1182	718	1470	1274	1182
gbgene459	14884	8540	19077	13565	7195	19425	12107	17219
gbgene460	2	0	4	4	0	1	11	1
gbgene461	71	75	110	86	63	195	86	129
gbgene462	0	0	0	0	0	0	0	0
gbgene463	2565	1479	3152	2553	1667	3346	3063	2555
gbgene464	13	0	3	7	1	0	4	10
gbgene465	26	18	8	11	5	8	11	6
gbgene466	40	31	80	52	32	54	130	108
gbgene467	2	0	0	0	1	5	3	1
gbgene468	1	0	2	5	3	0	5	3
gbgene469	0	1	0	0	0	0	0	0
gbgene470	13	6	21	16	29	7	21	37
gbgene471	0	0	0	0	0	0	0	0
gbgene472	15	14	0	0	0	0	1	0
gbgene473	0	0	0	0	0	0	0	0
gbgene474	543	312	79	30	2	23	14	32
gbgene475	788	338	293	1050	625	0	1018	769
gbgene476	10858	5166	3421	8425	5310	2	9047	8931
gbgene477	578	153	314	606	646	4	823	834
gbgene478	2814	999	1271	1193	1238	1479	1600	2184
gbgene479	678	345	469	545	402	314	619	589
gbgene480	119	46	98	77	93	172	42	39
gbgene481	11	1	24	13	0	27	44	20
gbgene482	3	8	32	35	50	54	23	27
gbgene483	1	6	122	96	97	287	171	172
gbgene484	25	40	594	420	68	671	202	331
gbgene485	10	16	53	61	12	8	24	12
gbgene486	26	9	10	16	11	1	25	12
gbgene487	0	1	0	2	0	0	1	0
gbgene488	5	5	7	17	11	2	23	15
gbgene489	3	0	3	2	3	0	4	4
gbgene490	123	1	0	1	0	0	3	1
gbgene491	7921	2022	11313	8597	5301	13837	9917	5295
gbgene492	1	2	2	1	2	12	4	7
gbgene493	0	0	0	0	3	0	5	4
gbgene494	103	58	81	139	105	14	162	191
gbgene495	0	0	0	0	1	0	0	2
gbgene496	34	5	10	15	17	27	29	28
gbgene497	593	664	402	888	595	576	723	734
gbgene498	76745	40485	16606	25380	23949	13	36685	35831
gbgene499	6888	3926	13617	12551	7841	11527	12331	7811
gbgene500	196	137	72	59	25	44	55	86
gbgene501	348	152	79	120	39	30	103	131
gbgene502	583	306	535	762	480	437	572	647
gbgene503	0	0	0	0	0	0	0	0
gbgene504	358724	218034	92426	148149	114443	5871	206307	223190
gbgene505	7	3	17	2	1	6	10	14
gbgene506	0	2	0	1	3	1	5	5
gbgene507	102	48	210	162	147	241	191	110
gbgene508	1	0	0	3	1	1	6	4
gbgene509	0	0	0	0	0	0	0	0
gbgene510	0	0	3	4	4	4	14	8
gbgene511	986	534	864	763	575	876	1120	1075
gbgene512	179	113	233	182	152	251	248	201
gbgene513	675	285	231	479	330	45	612	602
gbgene514	1388	1013	1340	2178	1426	563	1792	2322
gbgene515	178	85	13	18	26	0	123	40
gbgene516	589	359	159	247	191	78	327	253
gbgene517	267	111	122	183	269	512	386	126
