transcripts	GO-terms
gbgene142	GO:0000785,GO:0033169,GO:0090310,GO:0005634,GO:0031490,GO:0140683,GO:0032454,GO:0016577,GO:0000118,GO:0006357,GO:0003712
gbgene143	
gbgene144	
gbgene145	GO:0005887,GO:0008271,GO:0055085,GO:0008272,GO:0015301,GO:0015116
gbgene146	GO:0004674,GO:0005814,GO:0007098,GO:0007288,GO:0005524,GO:0046777,GO:0005737,GO:0005515,GO:0035186,GO:0007099,GO:0000922,GO:0032465,GO:0005813,GO:0005634,GO:0031647,GO:0046599,GO:0045732,GO:0000278,GO:0007140
gbgene147	GO:0003676,GO:0032259,GO:0008757,GO:0035657,GO:0008276
gbgene148	GO:0008270,GO:0005794,GO:0005737,GO:0061630,GO:0005770,GO:0006511
gbgene149	
gbgene150	
gbgene151	
gbgene152	
gbgene153	
gbgene154	GO:0005739,GO:0008270,GO:0002164,GO:0006508,GO:0035610,GO:0007005,GO:0004181
gbgene155	
gbman.GBUE021016-PA.1	GO:0042734,GO:0006898,GO:0045211,GO:0030513,GO:0034399,GO:0006897,GO:0009997,GO:0045747,GO:0005543,GO:0005764,GO:0005886,GO:0030276,GO:0005768,GO:0005776,GO:0072583,GO:0030125,GO:0016236
gbgene157	
gbgene158	GO:0031080,GO:0006606,GO:0045893,GO:0017056,GO:0006607,GO:2000331,GO:0006406
gbgene159	GO:0046923,GO:0016021,GO:0005046,GO:0005801,GO:0006888,GO:0005783,GO:0006621
gbgene160	GO:0005737,GO:0005829,GO:0006606,GO:0008139,GO:0061608,GO:0005634
gbgene161	GO:0005739,GO:0008270,GO:0051087,GO:0006457,GO:0030150,GO:0050821
gbgene162	
gbgene163	
gbgene164	GO:0006884,GO:0005887,GO:0005254,GO:0009992,GO:0006821,GO:0005229,GO:0072320
gbgene165	GO:0045944,GO:0007605,GO:0000978,GO:0003677,GO:0060086,GO:0001751,GO:0046530,GO:0001745,GO:0006355,GO:0010114,GO:0009649,GO:0035271,GO:0043153,GO:0001752,GO:0006357,GO:0005634,GO:0000981
gbgene166	GO:0030317,GO:0003674,GO:0036126
gbgene167	GO:0005509,GO:0048190
gbgene168	GO:0061174,GO:0097105,GO:1900244,GO:0097118,GO:0031594,GO:0008306,GO:0051124,GO:0099056,GO:0034185,GO:0097109,GO:0072553,GO:0098820,GO:0043195,GO:0005515,GO:0007416,GO:0042043,GO:0040012,GO:0019901,GO:0071938,GO:0040011,GO:0050808,GO:2000331,GO:1900073,GO:0007268,GO:0048488,GO:0007274
gbgene169	
gbgene170	GO:0008061,GO:0040003,GO:0062129,GO:0005214
gbgene171	
gbgene172	GO:0061174,GO:0097105,GO:1900244,GO:0097118,GO:0031594,GO:0008306,GO:0051124,GO:0099056,GO:0034185,GO:0097109,GO:0072553,GO:0098820,GO:0043195,GO:0005515,GO:0007416,GO:0042043,GO:0040012,GO:0019901,GO:0071938,GO:0040011,GO:0050808,GO:2000331,GO:1900073,GO:0007268,GO:0048488,GO:0007274
gbgene173	GO:0008150,GO:0003674,GO:0005575
gbgene174	
gbgene175	
gbgene176	GO:0005085,GO:0035025,GO:0035023,GO:0005575
gbgene177	GO:0000398,GO:0005681,GO:0071011,GO:0046540,GO:0003723,GO:0005634
gbgene178	GO:0016020
gbgene179	GO:0048149,GO:0070905,GO:0019264,GO:0004372,GO:0042752,GO:0005737,GO:0051289,GO:0035999,GO:0046653,GO:0006730,GO:0046655,GO:0000900,GO:0005634,GO:0008270,GO:0009113,GO:0006565,GO:0042803,GO:0005829,GO:0030170,GO:0048027
gbgene180	GO:0048149,GO:0070905,GO:0019264,GO:0004372,GO:0042752,GO:0005737,GO:0051289,GO:0035999,GO:0046653,GO:0006730,GO:0046655,GO:0000900,GO:0005634,GO:0008270,GO:0009113,GO:0006565,GO:0042803,GO:0005829,GO:0030170,GO:0048027
gbgene181	GO:0022841,GO:0016021,GO:0005887,GO:0030322,GO:0071805,GO:0005267
gbgene182	GO:0008180,GO:0048140,GO:0048142,GO:0000338,GO:0007281,GO:0036099,GO:0050821
gbgene183	
gbgene184	GO:0005739,GO:0005762,GO:0030307,GO:0010821,GO:0006412,GO:0006390,GO:0003735,GO:0003682,GO:0032543
gbgene185	
gbgene186	GO:0005634
gbgene187	GO:0005730,GO:0003726,GO:0003725,GO:0006396,GO:0001666,GO:0009408,GO:0042752,GO:0005737,GO:0008344,GO:0030534,GO:0016556,GO:0045475,GO:0006979,GO:0007626,GO:0005634,GO:0008251,GO:0006382,GO:0060964,GO:0008049,GO:0042391,GO:0009451
gbgene188	GO:0005789,GO:0051377,GO:0006506
gbgene189	GO:0005737,GO:0000502,GO:0006508,GO:0043248,GO:0032436,GO:0043161,GO:0005634
gbgene190	GO:0005794,GO:0090158,GO:0007431,GO:0016192,GO:0030334,GO:0005525,GO:0070861,GO:0060628,GO:0003924,GO:0005515,GO:0006886,GO:0035220,GO:0033227,GO:0019904,GO:0048488,GO:0007269,GO:0033363,GO:0007030,GO:1903292,GO:0034067,GO:0005802
gbgene191	GO:0003916,GO:0003677,GO:0006265,GO:0003917,GO:0051965,GO:0005634
gbgene192	GO:0016491,GO:0000254,GO:0005506,GO:0016020,GO:0005789,GO:0016126
gbgene193	GO:0016491,GO:0000254,GO:0005506,GO:0016020,GO:0005789,GO:0016126
gbgene194	
gbgene195	GO:0006891,GO:0006886,GO:0005794,GO:0017119,GO:0003674,GO:0007112,GO:0007030,GO:0006890,GO:0036063,GO:1903292,GO:0000916
